Lớp,Mã HP,Môn,TC,LT,TH,Tự học,PCGD,SS lớp,Mã LHP,Nhóm,LT/TH,Thứ,Ca,GĐ,GV,Ghi chú,Ghi chú
K69I-CS4,INT3425,Khoa học dữ liệu,3,45,,,1,65,INT3425 4,CL,LT,3,1,102-B,Nguyễn Việt Anh,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS5,INT3425,Khoa học dữ liệu,3,45,,,1,65,INT3425 5,CL,LT,3,2,102-B,Nguyễn Việt Anh,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS1,INT3401E,Trí tuệ nhân tạo,3,45,,,1,65,INT3401E 1,CL,LT,4,1,503-B,Nguyễn Thị Nhật Thanh,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS2,INT3401E,Trí tuệ nhân tạo,3,45,,,1,65,INT3401E 2,CL,LT,6,2,510-B,Nguyễn Thị Nhật Thanh,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS3,INT3401E,Trí tuệ nhân tạo,3,45,,,1,65,INT3401E 3,CL,LT,3,1,110-B,Nguyễn Văn Vinh,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS4,INT3401E,Trí tuệ nhân tạo,3,45,,,1,65,INT3401E 4,CL,LT,4,2,102-B,Nguyễn Văn Vinh,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CS5,INT3401E,Trí tuệ nhân tạo,3,45,,,1,65,INT3401E 5,CL,LT,5,2,110-B,Nguyễn Thanh Thủy,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IS1,PHI1002,Chủ nghĩa xã hội khoa học,2,30,,,9,55,PHI1002 7,CL,LT,3,1,303-B,Khuất Thị Thanh Vân,,"Học 1 ca/10 tuần, thi đợt 1"
K69I-IS2,PHI1002,Chủ nghĩa xã hội khoa học,2,30,,,9,55,PHI1002 8,CL,LT,6,3,408-B,Cao Thị Sính,,"Học 1 ca/10 tuần, thi đợt 1"
K69I-IS3,PHI1002,Chủ nghĩa xã hội khoa học,2,30,,,9,55,PHI1002 9,CL,LT,5,3,203-B,Cao Thị Sính,,"Học 1 ca/10 tuần, thi đợt 1"
K69I-IS1,ELT2035,Tín hiệu và hệ thống,3,45,,,2,55,ELT2035 12,CL,LT,6,1,202-B,Lưu Mạnh Hà,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IS2,ELT2035,Tín hiệu và hệ thống,3,45,,,2,55,ELT2035 13,CL,LT,3,4,105-B,Lưu Mạnh Hà,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IS3,ELT2035,Tín hiệu và hệ thống,3,45,,,2,55,ELT2035 14,CL,LT,6,3,404-B,Nguyễn Hồng Thịnh,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IS1,INT2213,Mạng máy tính,4,45,,,1,55,INT2213 12,CL,LT,2,2,409-B,Trần Trúc Mai,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IS1,INT2213,Mạng máy tính,4,,30,,1,55,INT2213 12,CL,TH,4,2,403-A,Đào Minh Thư+Đỗ Quang Huy,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IS2,INT2213,Mạng máy tính,4,45,,,1,55,INT2213 13,CL,LT,3,3,105-B,Hoàng Xuân Tùng,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IS2,INT2213,Mạng máy tính,4,,30,,1,55,INT2213 13,CL,TH,4,3,404-A,Nguyễn Thái Dương+Bùi Đức Hải,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IS3,INT2213,Mạng máy tính,4,45,,,1,55,INT2213 14,CL,LT,4,4,308-B,Nguyễn Ngọc Tân,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IS3,INT2213,Mạng máy tính,4,,30,,1,55,INT2213 14,CL,TH,3,4,307-A,Vũ Đức Trung+Bùi Đức Hải,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IS1,INT2208,Công nghệ phần mềm,3,45,,,1,55,INT2208 12,CL,LT,5,2,410-B,Trần Hoàng Việt,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IS2,INT2208,Công nghệ phần mềm,3,45,,,1,55,INT2208 13,CL,LT,2,3,210-B,Nguyễn Đức Anh,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IS3,INT2208,Công nghệ phần mềm,3,45,,,1,55,INT2208 14,CL,LT,5,4,203-B,Trần Hoàng Việt,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IS1,INT3202E,Hệ quản trị cơ sở dữ liệu,3,45,,,1,55,INT3202E 1,CL,LT,5,1,410-B,Vũ Bá Duy,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IS2,INT3202E,Hệ quản trị cơ sở dữ liệu,3,45,,,1,55,INT3202E 2,CL,LT,2,4,210-B,Vương Thị Hồng,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IS3,INT3202E,Hệ quản trị cơ sở dữ liệu,3,45,,,1,55,INT3202E 3,CL,LT,6,4,404-B,Vương Thị Hồng,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IS1,INT3418,Thuật toán nâng cao và Ứng dụng,3,45,,,1,55,INT3418 3,CL,LT,2,1,409-B,Trần Thị Minh Châu,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IS2,INT3102,Phương pháp tính,3,30,15,,1,55,INT3102 3,CL,LT,5,1,401-B,Lê Phê Đô,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-IS3,INT3102,Phương pháp tính,3,30,15,,1,55,INT3102 4,CL,LT,2,2,102-T,Lê Phê Đô,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CN,PHI1002,Chủ nghĩa xã hội khoa học,2,30,,,9,90,PHI1002 10,CL,LT,6,4,106-T,Phạm Minh Hoàng,,"Học 1 ca/10 tuần, thi đợt 1"
K69I-CN,ELT2035,Tín hiệu và hệ thống,3,45,,,2,90,ELT2035 15,CL,LT,2,4,106-T,Nguyễn Hồng Thịnh,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CN,INT2213,Mạng máy tính,4,45,,,1,90,INT2213 15,CL,LT,4,4,106-T,Hồ Đắc Phương,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CN,INT2213,Mạng máy tính,4,,30,,1,45,INT2213 15,1,TH,3,3,504-A,Đào Minh Thư,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CN,INT2213,Mạng máy tính,4,,30,,1,45,INT2213 15,2,TH,3,2,504-A,Vũ Đức Trung,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CN,INT2208,Công nghệ phần mềm,3,45,,,1,90,INT2208 15,CL,LT,5,2,106-T,Tô Văn Khánh,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CN,ELT3057,Truyền thông số và mã hóa,3,45,,,2,90,ELT3057 1,CL,LT,5,4,106-T,Lê Trần Mạnh,,"Học 1 ca/15 tuần, thi đợt 2"
K69I-CN,ELT3243,Các nguyên lý truyền thông,3,45,,,2,90,ELT3243 1,CL,LT,5,3,106-T,Trịnh Anh Vũ,,"Học 1 ca/15 tuần, thi đợt 2"
K69P-EP1,HIS1001,Lịch sử Đảng Cộng sản Việt Nam,2,20,10,,9,65,HIS1001 1,CL,LT,2,4,105-B,Nguyễn Chí Thảo,,"Học 1 ca/10 tuần, thi đợt 1"
K69P-EP2,HIS1001,Lịch sử Đảng Cộng sản Việt Nam,2,20,10,,9,65,HIS1001 2,CL,LT,5,4,204-A,Nguyễn Thị Thu Hoài,,"Học 1 ca/10 tuần, thi đợt 1"
K69P-EP1,EPN2029,Khoa học vật liệu đại cương,3,30,30,,4,65,EPN2029 1,CL,LT,2,2,105-B,Nguyễn Năng Định+Phan Thế Long,Ca 1 (học từ tuần 1-15),"Học 1 ca/10 tuần đầu, từ tuần 11 học 2 ca/tuần, thi vào đợt 2"
K69P-EP1,EPN2029,Khoa học vật liệu đại cương,3,30,30,,4,65,EPN2029 1,CL,LT,6,2,407-B,Nguyễn Năng Định+Phan Thế Long,Ca 2 (học đồng thời với Ca 1 từ tuần 11),
K69P-EP2,EPN2029,Khoa học vật liệu đại cương,3,30,30,,4,65,EPN2029 2,CL,LT,4,2,108-B,Nguyễn Năng Định+Phan Thế Long,Ca 1 (học từ tuần 1-15),"Học 1 ca/10 tuần đầu, từ tuần 11 học 2 ca/tuần, thi vào đợt 2"
K69P-EP2,EPN2029,Khoa học vật liệu đại cương,3,30,30,,4,65,EPN2029 2,CL,LT,6,1,103-B,Nguyễn Năng Định+Phan Thế Long,Ca 2 (học đồng thời với Ca 1 từ tuần 11),
K69P-EP1,EPN2030,Vật lý thống kê,3,36,18,,4,65,EPN2030 1,CL,LT,6,4,407-B,Hoàng Nam Nhật+Lê Việt Cường,Ca 1 (học từ tuần 1-15),"Học 1 ca/10 tuần đầu, từ tuần 11 học 2 ca/tuần, thi vào đợt 2"
K69P-EP1,EPN2030,Vật lý thống kê,3,36,18,,4,65,EPN2030 1,CL,LT,2,3,105-B,Hoàng Nam Nhật+Lê Việt Cường,Ca 2 (học đồng thời với Ca 1 từ tuần 11),
K69P-EP2,EPN2030,Vật lý thống kê,3,36,18,,4,65,EPN2030 2,CL,LT,2,1,408-B,Hoàng Nam Nhật+Lê Việt Cường,Ca 1 (học từ tuần 1-15),"Học 1 ca/10 tuần đầu, từ tuần 11 học 2 ca/tuần, thi vào đợt 2"
